generation,objective,perf_loss,dsp,bram,lat,eng,penalty_dsp,penalty_bram
0,15048.319380208333,0.3193802083333333,16648.0,28.0,132.47280119027417,9.679007194215684,15048.0,0.0
1,15048.319380208333,0.3193802083333333,16648.0,28.0,132.47280119027417,9.679007194215684,15048.0,0.0
2,11156.360015625,0.360015625,12756.0,29.0,140.336474552602,10.758532069392992,11156.0,0.0
3,11156.360015625,0.360015625,12756.0,29.0,140.336474552602,10.758532069392992,11156.0,0.0
4,11156.360015625,0.360015625,12756.0,29.0,140.336474552602,10.758532069392992,11156.0,0.0
5,6226.25746875,0.25746875,7826.0,26.0,117.58464185625564,7.042617407167057,6226.0,0.0
6,5149.276651041667,0.27665104166666665,6749.0,27.0,157.28394953690625,7.34750937542458,5149.0,0.0
7,5149.276651041667,0.27665104166666665,6749.0,27.0,157.28394953690625,7.34750937542458,5149.0,0.0
8,5149.276651041667,0.27665104166666665,6749.0,27.0,157.28394953690625,7.34750937542458,5149.0,0.0
9,5149.276651041667,0.27665104166666665,6749.0,27.0,157.28394953690625,7.34750937542458,5149.0,0.0
10,3995.3361302083335,0.33613020833333335,5595.0,26.0,205.4353740055351,7.374210917560969,3995.0,0.0
11,3995.3361302083335,0.33613020833333335,5595.0,26.0,205.4353740055351,7.374210917560969,3995.0,0.0
12,3995.3361302083335,0.33613020833333335,5595.0,26.0,205.4353740055351,7.374210917560969,3995.0,0.0
13,3995.3361302083335,0.33613020833333335,5595.0,26.0,205.4353740055351,7.374210917560969,3995.0,0.0
14,3995.3361302083335,0.33613020833333335,5595.0,26.0,205.4353740055351,7.374210917560969,3995.0,0.0
15,3995.3361302083335,0.33613020833333335,5595.0,26.0,205.4353740055351,7.374210917560969,3995.0,0.0
16,3995.3361302083335,0.33613020833333335,5595.0,26.0,205.4353740055351,7.374210917560969,3995.0,0.0
17,3995.3361302083335,0.33613020833333335,5595.0,26.0,205.4353740055351,7.374210917560969,3995.0,0.0
18,3995.3361302083335,0.33613020833333335,5595.0,26.0,205.4353740055351,7.374210917560969,3995.0,0.0
19,3907.3511510416665,0.35115104166666666,5507.0,25.0,148.11688426624744,6.748879681654225,3907.0,0.0
